event-id,visible,timestamp,location-long,location-lat,behavioural-classification,comments,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
10210419,true,2005-02-17 05:05:00.000,31.76642049,-24.53730062,"0","24.3",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210423,true,2005-02-17 05:05:00.000,31.76642049,-24.53730062,"0","24.3",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210428,true,2005-02-17 06:08:00.000,31.76442057,-24.53931071,"0","29.5",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210434,true,2005-02-17 06:08:00.000,31.76442057,-24.53931071,"0","29.5",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210456,true,2005-02-17 07:05:00.000,31.76114095,-24.54798991,"0","35.8",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210458,true,2005-02-17 08:05:00.000,31.76079915,-24.54702962,"0","37.3",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210483,true,2005-02-17 09:05:00.000,31.75982056,-24.5468099,"0","38.9",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210535,true,2005-02-17 10:05:00.000,31.75968018,-24.54679972,"0","39.6",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210544,true,2005-02-17 11:05:00.000,31.76010946,-24.54682007,"0","40",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210558,true,2005-02-17 12:05:00.000,31.76019084,-24.54685059,"0","38.1",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210560,true,2005-02-17 13:05:00.000,31.76015015,-24.54686076,"0","38.5",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210565,true,2005-02-17 14:05:00.000,31.76317952,-24.54720052,"0","38.9",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210572,true,2005-02-17 15:05:00.000,31.7651001,-24.54508057,"0","40.4",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210584,true,2005-02-17 15:05:00.000,31.7651001,-24.54508057,"0","40.4",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210601,true,2005-02-17 16:05:00.000,31.77801921,-24.54230957,"0","36.2",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210635,true,2005-02-17 17:05:00.000,31.78675944,-24.53743083,"0","31",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210661,true,2005-02-17 18:05:00.000,31.78705037,-24.53520915,"0","28.8",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210691,true,2005-02-17 19:05:00.000,31.78388062,-24.53413086,"0","28.4",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210693,true,2005-02-17 20:05:00.000,31.78398031,-24.53410034,"0","27.3",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210717,true,2005-02-17 21:05:00.000,31.78395996,-24.53420003,"0","26.9",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210718,true,2005-02-17 22:05:00.000,31.77214966,-24.52788086,"0","26.6",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210747,true,2005-02-17 23:05:00.000,31.76939087,-24.52658081,"0","26.9",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210749,true,2005-02-18 00:05:00.000,31.75842082,-24.53082072,"0","26.2",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210774,true,2005-02-18 01:05:00.000,31.75701904,-24.53140055,"0","25.8",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210790,true,2005-02-18 02:05:00.000,31.75704956,-24.53166097,"0","25.5",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210803,true,2005-02-18 03:05:00.000,31.75718994,-24.53240967,"0","25.5",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210813,true,2005-02-18 04:05:00.000,31.75715942,-24.53245036,"0","25.5",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210854,true,2005-02-18 05:05:00.000,31.74597982,-24.53848063,"0","28.8",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210857,true,2005-02-18 06:05:00.000,31.74734904,-24.54274089,"0","34.3",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210862,true,2005-02-18 07:05:00.000,31.74603068,-24.54294027,"0","35.1",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210866,true,2005-02-18 08:05:00.000,31.74616089,-24.54302979,"0","33.6",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210892,true,2005-02-18 09:05:00.000,31.74621989,-24.54302979,"0","35.8",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210897,true,2005-02-18 10:05:00.000,31.74611003,-24.54310099,"0","39.2",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210905,true,2005-02-18 11:05:00.000,31.74618937,-24.5429891,"0","40",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210936,true,2005-02-18 12:05:00.000,31.7461792,-24.54301961,"0","39.2",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210953,true,2005-02-18 13:05:00.000,31.74621989,-24.54307048,"0","40",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210974,true,2005-02-18 14:05:00.000,31.74857992,-24.54724935,"0","41.6",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210979,true,2005-02-18 15:05:00.000,31.75046997,-24.5519694,"0","38.9",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210983,true,2005-02-18 16:04:00.000,31.75468953,-24.54864095,"0","35.5",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10210997,true,2005-02-18 17:06:00.000,31.76211955,-24.54643962,"0","32.1",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211016,true,2005-02-18 18:05:00.000,31.76269938,-24.54687907,"0","29.5",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211037,true,2005-02-18 19:05:00.000,31.76278076,-24.54687907,"0","28.8",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211055,true,2005-02-18 20:05:00.000,31.76274007,-24.54687093,"0","27.7",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211071,true,2005-02-18 21:05:00.000,31.76927083,-24.54345093,"0","27.3",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211074,true,2005-02-18 22:04:00.000,31.77342936,-24.54156087,"0","27.3",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211089,true,2005-02-18 23:05:00.000,31.77528076,-24.54046021,"0","26.9",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211091,true,2005-02-19 00:05:00.000,31.77550049,-24.54062907,"0","25.8",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211129,true,2005-02-19 01:05:00.000,31.77552083,-24.5406901,"0","25.8",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211135,true,2005-02-19 02:05:00.000,31.77544963,-24.54041951,"0","26.2",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211136,true,2005-02-19 03:05:00.000,31.77375081,-24.53885905,"0","26.9",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211139,true,2005-02-19 04:05:00.000,31.76862996,-24.5394694,"0","26.6",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211157,true,2005-02-19 05:04:00.000,31.76208089,-24.54263916,"0","29.5",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211210,true,2005-02-19 05:08:00.000,31.76105957,-24.54241943,"0","30.3",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211215,true,2005-02-19 06:05:00.000,31.75612996,-24.53961995,"0","32.5",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211231,true,2005-02-19 07:05:00.000,31.75668945,-24.54168905,"0","37.3",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211233,true,2005-02-19 08:05:00.000,31.75898031,-24.54116007,"0","41.2",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211234,true,2005-02-19 09:05:00.000,31.7586792,-24.54145101,"0","39.2",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211243,true,2005-02-19 10:05:00.000,31.75861003,-24.54142049,"0","38.1",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211257,true,2005-02-19 11:05:00.000,31.75847982,-24.54145101,"0","36.2",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211258,true,2005-02-19 12:04:00.000,31.75861003,-24.54159953,"0","37.3",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
10211268,true,2005-02-19 13:05:00.000,31.75853068,-24.5415507,"0","39.2",,"gps","Syncerus caffer","#1764820","Queen","Kruger African Buffalo, GPS tracking, South Africa"
