event-id,visible,timestamp,location-long,location-lat,eobs:acceleration-axes,eobs:acceleration-sampling-frequency-per-axis,eobs:accelerations-raw,eobs:activity,eobs:activity-samples,eobs:battery-voltage,eobs:fix-battery-voltage,eobs:horizontal-accuracy-estimate,eobs:key-bin-checksum,eobs:speed-accuracy-estimate,eobs:start-timestamp,eobs:status,eobs:temperature,eobs:type-of-fix,eobs:used-time-to-get-fix,ground-speed,heading,height-above-ellipsoid,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone
166410085,true,2012-11-30 02:00:43.998,18.779423,-33.8196383,,,,,,4064,4030,4.1,548669844,3.24,2012-11-30 01:59:58.000,"A",21,3,46,0.09,0.66,157.3,,"gps","Ciconia ciconia","2669","ZAC 9A69901","LifeTrack White Stork SAfrica",294482.4092331764,6255624.595427847,"34S"
166410086,true,2012-11-30 02:05:11.998,18.7794037,-33.8196015,,,,,,4062,4035,6.66,328038180,9.47,2012-11-30 02:05:00.000,"A",21,3,12,0.41,1.31,162.0,,"gps","Ciconia ciconia","2669","ZAC 9A69901","LifeTrack White Stork SAfrica",294480.5345629761,6255628.638236116,"34S"
166410087,true,2012-11-30 02:10:28.998,18.7794476,-33.8195852,,,,,,4062,4033,7.17,152706410,9.02,2012-11-30 02:10:00.000,"A",21,3,29,0.13,2.62,152.1,,"gps","Ciconia ciconia","2669","ZAC 9A69901","LifeTrack White Stork SAfrica",294484.55933779257,6255630.533719577,"34S"
166410088,true,2012-11-30 02:15:10.999,18.7794249,-33.8196035,,,,,,4062,4035,4.86,416412418,3.93,2012-11-30 02:15:00.000,"A",21,3,11,0.05,11.14,163.7,,"gps","Ciconia ciconia","2669","ZAC 9A69901","LifeTrack White Stork SAfrica",294482.5018180787,6255628.45877674,"34S"
166410089,true,2012-11-30 02:20:11.998,18.7794426,-33.8196079,,,,,,4062,4035,5.63,2323050608,5.69,2012-11-30 02:20:00.000,"A",21,3,12,0.11,1.31,170.6,,"gps","Ciconia ciconia","2669","ZAC 9A69901","LifeTrack White Stork SAfrica",294484.15082529146,6255628.006148579,"34S"
166410090,true,2012-11-30 02:25:12.001,18.7794022,-33.8196275,,,,,,4062,4035,5.12,1948069827,4.31,2012-11-30 02:25:01.000,"A",21,3,11,0.19,19.66,174.0,,"gps","Ciconia ciconia","2669","ZAC 9A69901","LifeTrack White Stork SAfrica",294480.45794281753,6255625.751665236,"34S"
166410091,true,2012-11-30 02:30:09.999,18.7794161,-33.8196395,,,,,,4062,4035,5.38,961554817,4.26,2012-11-30 02:29:59.000,"A",21,3,11,0.2,351.27,174.4,,"gps","Ciconia ciconia","2669","ZAC 9A69901","LifeTrack White Stork SAfrica",294481.77337798546,6255624.448554801,"34S"
166410092,true,2012-11-30 02:35:16.998,18.7794173,-33.8196165,,,,,,4060,4030,5.38,1238700523,4.22,2012-11-30 02:35:00.000,"A",21,3,17,0.27,8.52,165.3,,"gps","Ciconia ciconia","2669","ZAC 9A69901","LifeTrack White Stork SAfrica",294481.8294084893,6255627.00180622,"34S"
166410093,true,2012-11-30 02:40:29.000,18.7793722,-33.8196249,,,,,,4062,4033,14.34,2106366944,10.03,2012-11-30 02:40:01.000,"A",21,3,28,0.68,211.03,154.6,,"gps","Ciconia ciconia","2669","ZAC 9A69901","LifeTrack White Stork SAfrica",294477.6746429029,6255625.980086967,"34S"
166410094,true,2012-11-30 02:45:16.001,18.7794311,-33.8195833,,,,,,4060,4030,5.63,3069763666,3.85,2012-11-30 02:45:00.000,"A",21,3,16,0.11,343.41,173.6,,"gps","Ciconia ciconia","2669","ZAC 9A69901","LifeTrack White Stork SAfrica",294483.0273972228,6255630.711478468,"34S"
166410095,true,2012-11-30 02:50:09.999,18.7794659,-33.8195943,,,,,,4060,4033,5.89,3469021241,3.74,2012-11-30 02:49:59.000,"A",21,3,11,0.26,326.37,174.6,,"gps","Ciconia ciconia","2669","ZAC 9A69901","LifeTrack White Stork SAfrica",294486.2751363943,6255629.561028255,"34S"
166410096,true,2012-11-30 02:55:23.001,18.7794554,-33.8195807,,,,,,4058,4029,6.14,1023567774,3.85,2012-11-30 02:55:01.000,"A",21,3,22,0.17,345.37,171.7,,"gps","Ciconia ciconia","2669","ZAC 9A69901","LifeTrack White Stork SAfrica",294485.2706070647,6255631.04838252,"34S"
166410097,true,2012-11-30 03:00:09.998,18.7794432,-33.8195863,,,,,,4058,4033,6.66,460561313,3.9,2012-11-30 02:59:59.000,"A",21,3,11,0.13,1.31,166.2,,"gps","Ciconia ciconia","2669","ZAC 9A69901","LifeTrack White Stork SAfrica",294484.15466596425,6255630.402931882,"34S"
166410098,true,2012-11-30 03:05:44.999,18.7794268,-33.8196392,,,,,,4057,4025,3.33,2794728179,2.22,2012-11-30 03:05:00.000,"A",21,3,45,0.1,247.73,166.5,,"gps","Ciconia ciconia","2669","ZAC 9A69901","LifeTrack White Stork SAfrica",294482.7631503676,6255624.503203545,"34S"
166410099,true,2012-11-30 03:10:10.999,18.7794239,-33.8196448,,,,,,4057,4029,3.07,1493436567,2.87,2012-11-30 03:10:01.000,"A",21,3,10,0.02,358.48,162.9,,"gps","Ciconia ciconia","2669","ZAC 9A69901","LifeTrack White Stork SAfrica",294482.50810374407,6255623.876332358,"34S"
166410100,true,2012-11-30 03:15:12.001,18.7794212,-33.81963,,,,,,4057,4030,3.58,1109671413,2.71,2012-11-30 03:15:01.000,"A",21,3,11,0.18,0.66,167.4,,"gps","Ciconia ciconia","2669","ZAC 9A69901","LifeTrack White Stork SAfrica",294482.22274185775,6255625.512357344,"34S"
